Newman,Newman,Newman,Agr,Agr,Agr,Cap5D,Cap5D,Cap5D,Blank,Blank,Blank,Time
0.795099974,0.808700025,0.781199992,0.867999971,0.862200022,0.897499979,0.912299991,0.908500016,0.919499993,0.255600005,0.214300007,0.213599995,37
0.800599992,0.81279999,0.786499977,0.876299977,0.871299982,0.904999971,0.917200029,0.913900018,0.923600018,0.256599993,0.217399999,0.217999995,38
0.802399993,0.816999972,0.791700006,0.88349998,0.878300011,0.911599994,0.921700001,0.917800009,0.92839998,0.255600005,0.216800004,0.217600003,39
0.806999981,0.822000027,0.795400023,0.889199972,0.883599997,0.915899992,0.924799979,0.92049998,0.931699991,0.255199999,0.217899993,0.218199998,40
0.81129998,0.825800002,0.800000012,0.894999981,0.888800025,0.92110002,0.928200006,0.924600005,0.935599983,0.255800009,0.218400002,0.222100005,41
0.815400004,0.829299986,0.8046,0.898500025,0.893299997,0.925000012,0.930299997,0.925999999,0.938499987,0.257600009,0.2192,0.223700002,42
0.818799973,0.832700014,0.808200002,0.901899993,0.896700025,0.927900016,0.931200027,0.927600026,0.941299975,0.257699996,0.223399997,0.224900007,43
0.822300017,0.836199999,0.812099993,0.906499982,0.900200009,0.930999994,0.934700012,0.930700004,0.943300009,0.260899991,0.2227,0.226999998,44
0.827099979,0.84009999,0.815299988,0.909200013,0.902999997,0.933399975,0.936600029,0.932600021,0.944299996,0.263599992,0.228699997,0.230199993,45
0.829699993,0.843999982,0.818799973,0.911800027,0.906899989,0.936399996,0.938199997,0.933300018,0.94660002,0.265399992,0.230700001,0.232700005,46
0.833500028,0.847199976,0.823199987,0.914399981,0.909500003,0.93870002,0.940199971,0.935400009,0.948700011,0.26730001,0.233799994,0.235599995,47
0.837700009,0.851000011,0.826099992,0.917200029,0.91170001,0.942099988,0.941900015,0.936100006,0.950800002,0.274500012,0.2377,0.239899993,48
0.841099977,0.854799986,0.83099997,0.920000017,0.915199995,0.945299983,0.944000006,0.93870002,0.952799976,0.277099997,0.240999997,0.245499998,49
0.845099986,0.859000027,0.833999991,0.923200011,0.918099999,0.947600007,0.946099997,0.939800024,0.955299973,0.280499995,0.245800003,0.25,50
0.847599983,0.862900019,0.837499976,0.925800025,0.921299994,0.949800014,0.948499978,0.942799985,0.957099974,0.283100009,0.2491,0.252799988,51
0.851899981,0.866100013,0.842899978,0.92869997,0.923500001,0.953700006,0.950399995,0.944800019,0.959800005,0.2861,0.254200011,0.257299989,52
0.856000006,0.869899988,0.845799983,0.930999994,0.927200019,0.957000017,0.952000022,0.94749999,0.961600006,0.291099995,0.257800013,0.261500001,53
0.859499991,0.874300003,0.850700021,0.934099972,0.929899991,0.960200012,0.954400003,0.948700011,0.964299977,0.293500006,0.262300014,0.265399992,54
0.864099979,0.877099991,0.855099976,0.937600017,0.933099985,0.963400006,0.957199991,0.950999975,0.967199981,0.296499997,0.264699996,0.270799994,55
0.867600024,0.881399989,0.858299971,0.939199984,0.936600029,0.966199994,0.958999991,0.953400016,0.969200015,0.299100012,0.270999998,0.275099993,56
0.872300029,0.885500014,0.864400029,0.942499995,0.939199984,0.968699992,0.961700022,0.954999983,0.971300006,0.302700013,0.275099993,0.279500008,57
0.87650001,0.889100015,0.868300021,0.94599998,0.942700028,0.972000003,0.96359998,0.957300007,0.974399984,0.3037,0.278299987,0.282999992,58
0.880299985,0.892199993,0.871699989,0.948400021,0.946799994,0.974600017,0.966000021,0.959500015,0.976999998,0.307700008,0.283800006,0.284299999,59
0.884299994,0.895900011,0.87650001,0.950800002,0.949100018,0.978600025,0.968500018,0.961899996,0.979499996,0.307999998,0.285699993,0.289600015,60
0.887499988,0.899100006,0.880400002,0.953100026,0.951600015,0.980799973,0.969299972,0.963400006,0.981400013,0.310099989,0.290300012,0.295100003,61
0.89200002,0.902800024,0.885200024,0.956499994,0.9551,0.983200014,0.971800029,0.965399981,0.983900011,0.312099993,0.293000013,0.297100008,62
0.896000028,0.906599998,0.889500022,0.959200025,0.958700001,0.986999989,0.974399984,0.969099998,0.986599982,0.313800007,0.294699997,0.303299993,63
0.90109998,0.911800027,0.89410001,0.962800026,0.962199986,0.989499986,0.977199972,0.971400023,0.989199996,0.316399992,0.301099986,0.305900007,64
0.903500021,0.914200008,0.897000015,0.964900017,0.96450001,0.991299987,0.978399992,0.97329998,0.990499973,0.319599986,0.302100003,0.306800008,65
0.907400012,0.917299986,0.901199996,0.967499971,0.967599988,0.992900014,0.980499983,0.975000024,0.992600024,0.318399996,0.304699987,0.310699999,66
0.91170001,0.92110002,0.904600024,0.969399989,0.969699979,0.995199978,0.982299984,0.977299988,0.994499981,0.319599986,0.305999994,0.309599996,67
0.913299978,0.924199998,0.907500029,0.971099973,0.972599983,0.997200012,0.983900011,0.979300022,0.996599972,0.321399987,0.307700008,0.31189999,68
0.918099999,0.928499997,0.912299991,0.974300027,0.975799978,0.99849999,0.986699998,0.98269999,0.999599993,0.323300004,0.311100006,0.315100014,69
0.922100008,0.931599975,0.914799988,0.977299988,0.977900028,1.001000047,0.989700019,0.984499991,1.00090003,0.321999997,0.308600008,0.315499991,70
0.925199986,0.935299993,0.919099987,0.978699982,0.980099976,1.003000021,0.990800023,0.987100005,1.003900051,0.324099988,0.312999994,0.320600003,71
0.927900016,0.939400017,0.923099995,0.981700003,0.982800007,1.004199982,0.993399978,0.989000022,1.005200028,0.324600011,0.312700003,0.321999997,72
0.932099998,0.941600025,0.926100016,0.982599974,0.984300017,1.005699992,0.994300008,0.990700006,1.007400036,0.325500011,0.310799986,0.322100013,73
0.935000002,0.946200013,0.929499984,0.984499991,0.986199975,1.008200049,0.996999979,0.993300021,1.00940001,0.325899988,0.313199997,0.32190001,74
0.938399971,0.948400021,0.933600008,0.986000001,0.987800002,1.00849998,0.99879998,0.994300008,1.011500001,0.326099992,0.309799999,0.323100001,75
0.939899981,0.951099992,0.936600029,0.987600029,0.989700019,1.009799957,1.000399947,0.996500015,1.013200045,0.324999988,0.312000006,0.322400004,76
0.942399979,0.952300012,0.935899973,0.994599998,0.994099975,1.014799953,1.001000047,0.995199978,1.015200019,0.323300004,0.312299997,0.323399991,77
0.942799985,0.954900026,0.939700007,0.988900006,0.991900027,1.011000037,1.00150001,0.998600006,1.015100002,0.3222,0.311399996,0.321200013,78
0.945599973,0.958299994,0.941999972,0.990100026,0.992200017,1.00999999,1.003600001,0.99970001,1.014299989,0.319200009,0.306300014,0.318599999,79
0.9472,0.961700022,0.944500029,0.990499973,0.994199991,1.011600018,1.004600048,1.001899958,1.01699996,0.319000006,0.307300001,0.317799985,80
0.949199975,0.962499976,0.946500003,0.99150002,0.994799972,1.011399984,1.005499959,1.002900004,1.018000007,0.316700011,0.307300001,0.318199992,81
0.950200021,0.965900004,0.948199987,0.991900027,0.995599985,1.012199998,1.00759995,1.004699945,1.019000053,0.314500004,0.306400001,0.315699995,82
0.952700019,0.967899978,0.950399995,0.992900014,0.996399999,1.013000011,1.008700013,1.005699992,1.020400047,0.31400001,0.304699987,0.313600004,83
0.953000009,0.968699992,0.951699972,0.993700027,0.996699989,1.012500048,1.009600043,1.006899953,1.021199942,0.311699986,0.300199986,0.313199997,84
0.953199983,0.970200002,0.952000022,0.993499994,0.997699976,1.013900042,1.010200024,1.006899953,1.021299958,0.310499996,0.299899995,0.311300009,85
0.954100013,0.971300006,0.954200029,0.993799984,0.998199999,1.013200045,1.010800004,1.008599997,1.021999955,0.310600013,0.302599996,0.311699986,86
0.955900013,0.972599983,0.954699993,0.994700015,0.999499977,1.014500022,1.012099981,1.009199977,1.023100019,0.309500009,0.299100012,0.31099999,87
0.957300007,0.974300027,0.956399977,0.995599985,0.99970001,1.015599966,1.013200045,1.010499954,1.024799943,0.307799995,0.298799992,0.31189999,88
